날짜,종가,,,,,
01/06/2024,16.68,,,,,
01/05/2024,17.09,,,,,
01/04/2024,16.64,,,,,
01/03/2024,16.64,,,,,
01/02/2024,14.66,,,,,
01/01/2024,15.6,,,,,
