날짜,종가,,,,,
01/06/2024,32.15,,,,,
01/05/2024,30.42,,,,,
01/04/2024,31.97,,,,,
01/03/2024,31.91,,,,,
01/02/2024,29.73,,,,,
01/01/2024,28.85,,,,,
