날짜,종가,,,,,
01/06/2024,82.55,,,,,
01/05/2024,84.03,,,,,
01/04/2024,89.17,,,,,
01/03/2024,84.15,,,,,
01/02/2024,80.88,,,,,
01/01/2024,78.85,,,,,
