날짜,종가,,,,,
01/06/2024,"16,045",,,,,
01/05/2024,"15,095",,,,,
01/04/2024,"15,875",,,,,
01/03/2024,"15,795",,,,,
01/02/2024,"14,850",,,,,
01/01/2024,"14,620",,,,,
